image,label,mask
01.png,01.json,01_mask.png
02.jpg,02.json,02_mask.png
03.jpg,03.json,03_mask.png
04.png,04.json,04_mask.png
05.png,05.json,05_mask.png
06.png,06.json,06_mask.png
07.png,07.json,07_mask.png
08.jpg,08.json,08_mask.png
09.jpg,09.json,09_mask.png
10.jpg,10.json,10_mask.png
11.jpg,11.json,11_mask.png
12.jpg,12.json,12_mask.png
13.jpg,13.json,13_mask.png
14.jpg,14.json,14_mask.png
15.jpg,15.json,15_mask.png
16.jpg,16.json,16_mask.png
17.jpg,17.json,17_mask.png
18.jpg,18.json,18_mask.png
19.jpg,19.json,19_mask.png
20.jpg,20.json,20_mask.png
21.jpg,21.json,21_mask.png
22.jpg,22.json,22_mask.png
23.jpg,23.json,23_mask.png
24.jpg,24.json,24_mask.png
25.jpg,25.json,25_mask.png
26.jpg,26.json,26_mask.png
27.jpg,27.json,27_mask.png
28.jpg,28.json,28_mask.png
29.jpg,29.json,29_mask.png
30.jpg,30.json,30_mask.png
31.jpg,31.json,31_mask.png
32.jpg,32.json,32_mask.png
33.jpg,33.json,33_mask.png
34.jpg,34.json,34_mask.png
35.jpg,35.json,35_mask.png
36.jpg,36.json,36_mask.png
37.jpg,37.json,37_mask.png
38.jpg,38.json,38_mask.png
39.jpg,39.json,39_mask.png
40.jpg,40.json,40_mask.png
41.jpg,41.json,41_mask.png
42.jpg,42.json,42_mask.png
43.jpg,43.json,43_mask.png
44.jpg,44.json,44_mask.png
45.jpg,45.json,45_mask.png
46.jpg,46.json,46_mask.png
47.jpg,47.json,47_mask.png
48.jpg,48.json,48_mask.png
49.jpg,49.json,49_mask.png
50.jpg,50.json,50_mask.png
